image_path, name, target, source, way_of_connection, connection, way_of_mapping, mapping_strategy, detail_mapping
1.png, Firephant,fire extinguisher,elephant,product's function, elephant's trunk spraying water functions like fire worker sprying the fire extinguisher, form, the exit of the fire hydrant looks like the trunk of an elephant,null
2.png, Luna Rug, rug, Moon, emotions, Moon's surface as a rug contextually like playfully walking on the moon, form, The rug's texture and color gradient looks like the surface of the moon, texture & color
3.png, NS Camera, security camera, Lovable character, emotions, lovely character create a friendly and non-threatening presence of camera, form, The camera's cover looks like a helmet, color
4.png, Surveillance Chandelier, chandelier, security camera, context meaning, Security cameras are everywhere just like chandelier, form, The spotlights look like security cameras, texture & color
5.png, VD 003 Bike Rack, bike rack, car, context product, the car represents with the bicycle on the road, form, The bike rack looks like the outline of a car, color
6.png,  Pianobell Door Bell, Door Bell, Piano Keys, product's interaction, Pressing the doorbell keys interacts like playing piano keys, interaction, Pressing the doorbell keys interacts like playing piano keys, color & form
7.png,  Awakening Lamp, Lamp, Human, context meaning, The lamp lights up when someone is in the room like a human waking up, interaction, The lamp lights up and lies down interacts like a human waking up and sleeping, movement
8.png, Ctrl+O Bottle Opener, Bottle Opener, Keyboard Shortcut, context, Ctrl+O command opens a document like the bottle opener opens a bottle, texture, the texture of bottle opener look like Ctrl+O, null
9.png,  Datenschutz USB Stick, USB Stick, Padlock, function, Padlock secures items functions like USB stick secures data, form, USB stick's structure is like a padlock, shape
10.png, Mary Biscuit Box, Biscuit Box, Biscuit, context, The box looks like a biscuit container like it contains biscuits, smell, the box smells like a biscuit, null
11.png,Garlic Press, garlic press, garlic, context, the garlic have relation with garlic press, form,  The garlic press structure has a relation with the shape of a garlic bulb, structure
12.png,Kastor Pencil Sharpener, pencil sharpener, beaver, function, The beaver gnawing on wood functions like a pencil sharpener sharpening a pencil, form, The pencil sharpener looks like a beaver, interaction
13.png, Homo Sapiens, kitchen tool, potato, context, Potatoes and kitchen tools are often present together in the kitchen, form, The kitchen tool looks like a cut potato, texture & color
14.png, business_class_tie_usb.png, Business Class, Tie, USB stick, context, Tie and USB stick are combined for quick and easy data sharing in a business environment, form, The USB stick integrates into the tie, metarial
15.png, Hanger Chair, Folding Chair, Hanger, context, Hanger and folding chair both save space in small areas, interaction, Chair folds and hangs like a hanger, form, color
16.png,  Whistling Bird Teakettle, Teakettle, Bird, context, Bird whistles when happy just like the teakettle whistles when the water boils, form, a bird-shape figure addes on the teakettle whistles , form
17.png ,Teo Tea Strainer, Tea Strainer, Human, context, Human supports the tea strainer like they support holding a cup, form, Tea strainer looks like a human holding a tea strainer, color & function
18.png , Sapper Kettle, Kettle, Steamboat, context, Kettle and steamboat both signal readiness with sound, function, Kettle's whistle functions like a steamboat's whistle, form, material
19.png, null, Chair, Animal, context, Chair's foot sneaks like an animal reaching for something unnoticed, form, Chair looks like an animal cautiously extending its foot, null
20.png, Death Star Popcorn Maker, Popcorn Maker, Death Star, context, Popcorn maker and Death Star both harness powerful energy, form, Popcorn maker looks like the Death Star,  texture & style
21.png, Set Table Lamp, Table Lamp, Screw, function, Lamp brightens or dims like adjusting a screw tightens or loosens, interaction, Lamp adjusts light intensity like a screw turns, form & texture
22.png, Sweetheart Nutcracker, Nutcracker, Crocodile, function, Crocodile's teeth are as tough as the Nutcracker, form, Nutcracker's serrated jaws look like a crocodile's teeth, null
23.png, Oliver Oil Taster, Oil Pourer, Olive, form, Olive oil comes from olives just as the oil pourer is shaped like an olive, form, The oil pourer looks like an olive, color & size & structure
24.png, Pino Funnel, Funnel, Pinocchio, form, Pinocchio's nose looks like the funnel's spout extends, form, The funnel's spout looks like Pinocchio's nose, color & graphics
25.png, Nut Splitter, Nut Opener, Maple Seed, context, Maple seed symbolizes breaking open just like the Nut Splitter opens nuts, form, Nut Splitter looks like a maple seed, structure & size
26.png, Bunny & Carrot Holder, Kitchen Roll Holder, Carrot & Bunny, context, Bunnies are associated with carrots like kitchen rolls are with holders, form, Kitchen roll holder looks like a carrot being held by a bunny, graphics
27.png, Fatman Cake Stand, Cake Stand, Clown, context, Cake stand and clown both transform to reveal new appearances, function, Cake stand folds like a clown's act changes, color & graphics
28.png, Cico Egg Cup, Egg Cup, Human, form, Egg cup holds an egg like a human holds an object, form, The egg cup looks like a human figure, color & graphics
29.png,  Mediterraneo Napkin Holder, Napkin Holder, Coral, form, Coral holds marine life like the napkin holder holds napkins, form, The napkin holder looks like coral, null
30
31.png, Toothpick Holder, Toothpick holder, Dancer, product’s interaction, User gracefully retrieves toothpick like a performer on stage, interaction, The dancer interacts like a mechanical figure to retrieve a toothpick, form & material & structure & style
32.png, A Lotus Leaf, A Lotus Leaf, Centerpiece, Lotus leaf, product’s form, Lotus leaf's organic shape looks like the form of the centerpiece, form, The centerpiece looks like a rippled lotus leaf, texture & material
33
34.png, Chip, Magnetic paper clip holder, Bird, context’s meaning, Birds and paper clips are often found on desks or workspaces, form, The paper clip holder looks like a bird, material
35.png,Pes, Paper knife, Fish, context’s meaning, Fish and knives are both associated with cutting, form, The paper knife looks like a fish, material & shape
36.png, Girotondo, Envelope holder, Cartoon figures, context’s meaning, Cartoon figures evoke a playful and approachable workspace environment, form, The envelope holder looks like playful cartoon characters, material & style
37.png, The Five Seasons, Fragrance diffuser, Tree branches, context’s meaning, Tree branches evoke a natural and calming atmosphere in the space, form, The diffuser's wooden leaves look like stylized branches, material
38.png, Dédé, Doorstop, Human figure, context’s meaning, The human figure evokes a sense of companionship and presence in the home, form, The doorstop looks like a squatting human figure, color & structure
39.png, Juicy Salif, Citrus squeezer, Spider, users' emotions, The spider-like form evokes intrigue and fascination while juicing, form, The citrus squeezer looks like a spider, interaction & material & structure
40.png, Gianni a little man holding on tight, Kitchen box, Little man, users' emotions, The users will feel a sense of whimsy and fun when they fill the food as the little man clinging to the inside of the lid, form,add a little man figure on the inside top of the lid , material & color & form
41.png, kitchen box, merry-go-round, users' emotion, The merry-go-round evokes feelings of joy and nostalgia, making the kitchen box more playful and charming, form, The lid of the kitchen box looks like the top of a merry-go-round, color & shape
42.png, 9093 Kettle, kettle, bird, product's interaction, Bird singing signifies the boiling of water in the kettle, form, A bird figure is added on the spout of the kettle, color & sound
43.png, Pito Kettle, kettle, fish, context meaning, Fish shape symbolizes the flowing and movement of water in the kettle, form, The kettle's handle and spout look like darting fish, form & sound
44.png, Souper Tail, ladle, whale, product's form, The tail of the whale is similar to the ladle's handle, form, The ladle’s shape looks like a whale's tail and body, form & color & graphics
45.png, teacup, pelican, product's function, A pelican holds items in its beak like the tea bag holder on a cup, form, The long beak of the pelican looks like a tea bag holder, color & graphics
46.png, Leafriend, plant support, tree huggers, product's function, Tree huggers support trees like Leafriends support plant cuttings, form, The plant supports looks like the tree huggers, structure & color
47.png, Fries Clips, bag clip, french fries, context product, the fries clips are usually used to clip the french fries,form, the Fries Clips looks like french fries,  accessories & color & graphics
48.png, RecorDING, bicycle bell, vinyl record, product's interaction, Sliding the bicycle bell's lever interacts like sliding the arm of a vinyl record player, interaction, The motion of using the bell interacts like playing a vinyl record, texture & style & structure
49.png, Mrs. Sponge, sponge holder, woman, product's form, A well-dressed woman looks like a stylish sponge holder, form, The shape of the sponge holder looks like a woman in a dress, texture & color
50.png, Zipmark, bookmark, zipper, product's interaction, A zipper closes an item like a bookmark holds a place in a book, form, The bookmark looks like a zipper, color & structure
51.png, YolkFish, egg separator, fish, product's function, A fish sucks in water like YolkFish separates egg yolk from egg white, function, The YolkFish functions like a fish sucking in food or water, material & movement
52.png, Trunky Dory, shower head holder, elephant, product's function, An elephant's trunk holds water like the shower head holder secures the shower head, form, The shower head holder looks like an elephant's trunk, function & material
53. png, Sugar House, sugar bowl, house, context's meaning, A house in the snow gives a cozy and sweet feeling like a bowl filled with sugar, form, The sugar bowl looks like a snow globe with a house inside, material & texture & structure
54.png, Soap Opera, dish scrubber holder, diva, context's meaning, A diva cleanses in the bath holds the same meaning of cleaning as the scrubber cleans dishes, form, The scrubber holder looks like a diva with a scrubber as her hair, texture & structure
55.png, Oiladdin, oil pourer, oil lamp, product's interaction, Rubbing an oil lamp releases a genie like tilting the pourer releases oil, interaction, The interaction of tilting the pourer mimics the action of pouring oil from an oil lamp, form & style
56.png, Lightmark, bookmark, reading lamp, product's function, A reading lamp illuminates a page like the bookmark highlights the last read page, form, The bookmark looks like a small reading lamp, color & structure
57.png, Key Pete, key holder, person, product's function, A person holds objects securely like Key Pete holds keys with his magnetic hands, form, The key holder looks like a person holding onto a surface, color & structure
58.png, Egguins, egg holder, penguins, context's meaning, Penguins protect their eggs in harsh environments like Egguins hold and protect eggs in the fridge or boiling water, form, The egg holder looks like a group of penguins huddling together, structure & color
59.png, Dustache, dustpan & brush set, friendly face, context's meaning, A friendly face makes cleaning feel playful and less tedious, form, The brush acts as a moustache and the dustpan has markings that complete the facial features, color & structure
60.png, Bloom, napkin holder, flower, context's meaning, A flower brings a sense of renewal and beauty like Bloom transforms a napkin into a blossoming flower, form, The napkin holder looks like a flower stem that turns a napkin into petals, color & structure
61.png, Arthur, egg cup, knight, context's meaning, A knight protecting an egg like it protects its armor, form, The egg cup looks like a knight's armor, color & structure
62.png, BottleTie, corkscrew, tie, context’s meaning, A tie makes a person look formal just like this corkscrew makes a wine bottle look elegant, form, The corkscrew looks like a necktie, color & style
